assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	city_pooled
GCF_022238505.1	SAMN25770404	400	Acinetobacter baumannii	20125	TRUE	2020	China	guangzhou	NCBI	3974257	0.389	0	64	292839	162512	26842	99.8	470	Acinetobacter baumannii	85.94	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	FALSE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2020-03-12	2020	TRUE	other_country_outside_europe
GCF_022238525.1	SAMN25770406	400	Acinetobacter baumannii	20128	TRUE	2020	China	guangzhou	NCBI	4040765	0.389	0	71	257610	157765	20917	99.7	470	Acinetobacter baumannii	83.1	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2020-11-10	2020	TRUE	other_country_outside_europe
GCF_022238585.1	SAMN25770405	400	Acinetobacter baumannii	20127	TRUE	2020	China	guangzhou	NCBI	4045812	0.389	0	73	261535	165204	17472	99.8	470	Acinetobacter baumannii	83.56	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2020-02-05	2020	TRUE	other_country_outside_europe
GCF_022238645.1	SAMN25770401	400	Acinetobacter baumannii	20122	TRUE	2020	China	guangzhou	NCBI	4114349	0.389	0	70	257394	158425	22440	99.8	470	Acinetobacter baumannii	84.29	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2020-02-10	2020	TRUE	other_country_outside_europe
GCF_022238705.1	SAMN25770398	400	Acinetobacter baumannii	19117	TRUE	2019	China	guangzhou	NCBI	4001485	0.389	0	68	392831	205019	27011	99.8	470	Acinetobacter baumannii	79.41	ST2	7	KL160	Perfect	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL160	2019-01-02	2019	TRUE	other_country_outside_europe
GCF_022238725.1	SAMN25770399	400	Acinetobacter baumannii	19118	TRUE	2019	China	guangzhou	NCBI	4075059	0.389	0	74	292839	157735	20917	99.8	470	Acinetobacter baumannii	83.78	ST2	7	KL2	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2019-11-10	2019	TRUE	other_country_outside_europe
GCF_022238785.1	SAMN25770395	400	Acinetobacter baumannii	19112	TRUE	2019	China	guangzhou	NCBI	3904857	0.388	0	57	292839	167939	35428	99.7	470	Acinetobacter baumannii	85.96	ST2	7	KL77	Perfect	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL77	2019-09-14	2019	TRUE	other_country_outside_europe
GCF_022238885.1	SAMN25770397	400	Acinetobacter baumannii	19115	TRUE	2019	China	guangzhou	NCBI	3986431	0.388	0	72	257484	156714	22144	99.8	470	Acinetobacter baumannii	84.72	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2019-07-05	2019	TRUE	other_country_outside_europe
GCF_022238905.1	SAMN25770396	400	Acinetobacter baumannii	19113	TRUE	2019	China	guangzhou	NCBI	4075059	0.389	0	74	292839	157735	20917	99.8	470	Acinetobacter baumannii	83.78	ST2	7	KL2	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2019-09-24	2019	TRUE	other_country_outside_europe
GCF_022238985.1	SAMN25770394	400	Acinetobacter baumannii	19111	TRUE	2019	China	guangzhou	NCBI	4011991	0.39	0	85	364559	132003	23840	99.8	470	Acinetobacter baumannii	72.94	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-80|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2019-11-07	2019	TRUE	other_country_outside_europe
GCF_022239945.1	SAMN25770376	400	Acinetobacter baumannii	19092	TRUE	2019	China	guangzhou	NCBI	4033571	0.389	0	72	257394	151607	22144	99.7	470	Acinetobacter baumannii	84.72	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2019-04-27	2019	TRUE	other_country_outside_europe
GCF_022239975.1	SAMN25770379	400	Acinetobacter baumannii	19095	TRUE	2019	China	guangzhou	NCBI	3986064	0.388	0	72	257484	156714	22144	99.8	470	Acinetobacter baumannii	86.11	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2019-04-22	2019	TRUE	other_country_outside_europe
GCF_022240085.1	SAMN25770393	400	Acinetobacter baumannii	19110	TRUE	2019	China	guangzhou	NCBI	3904845	0.388	0	57	292839	167939	35428	99.7	470	Acinetobacter baumannii	85.96	ST2	7	KL77	Perfect	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL77	2019-02-06	2019	TRUE	other_country_outside_europe
GCF_022240195.1	SAMN25770387	400	Acinetobacter baumannii	19104	TRUE	2019	China	guangzhou	NCBI	4039815	0.389	0	68	257516	156609	22144	99.8	470	Acinetobacter baumannii	88.24	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2019-09-27	2019	TRUE	other_country_outside_europe
GCF_022240235.1	SAMN25770386	400	Acinetobacter baumannii	19103	TRUE	2019	China	guangzhou	NCBI	4036784	0.389	0	71	257610	165204	22144	99.8	470	Acinetobacter baumannii	85.92	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2019-10-13	2019	TRUE	other_country_outside_europe
GCF_022240365.1	SAMN25770384	400	Acinetobacter baumannii	19100	TRUE	2019	China	guangzhou	NCBI	3916235	0.389	0	71	292839	162512	22144	99.8	470	Acinetobacter baumannii	84.51	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2019-09-07	2019	TRUE	other_country_outside_europe
GCF_022240425.1	SAMN25770373	400	Acinetobacter baumannii	19089	TRUE	2019	China	guangzhou	NCBI	4039573	0.389	0	68	257516	156609	22144	99.8	470	Acinetobacter baumannii	86.76	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2019-09-17	2019	TRUE	other_country_outside_europe
GCF_022240645.1	SAMN25770312	400	Acinetobacter baumannii	17013	TRUE	2017	China	guangzhou	NCBI	3959714	0.389	0	56	292839	163919	35177	99.8	470	Acinetobacter baumannii	80.36	ST2	7	KL77	Perfect	OCL1	Good	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL77	2017-02-11	2017	TRUE	other_country_outside_europe
GCF_022240725.1	SAMN25770307	400	Acinetobacter baumannii	17008	TRUE	2017	China	guangzhou	NCBI	3905684	0.39	0	68	292839	172078	21982	99.8	470	Acinetobacter baumannii	82.35	ST2	7	KL3	Very high	OCL1	Good	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2017-09-24	2017	TRUE	other_country_outside_europe
GCF_022240785.1	SAMN25770308	400	Acinetobacter baumannii	17009	TRUE	2017	China	guangzhou	NCBI	3984238	0.388	0	69	292839	181324	20917	99.7	470	Acinetobacter baumannii	85.51	ST2	7	KL77	Perfect	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL77	2017-07-01	2017	TRUE	other_country_outside_europe
GCF_022240855.1	SAMN25770300	400	Acinetobacter baumannii	17001	TRUE	2017	China	guangzhou	NCBI	3926609	0.388	0	67	292839	181324	20917	99.7	470	Acinetobacter baumannii	85.07	ST2	7	KL77	Perfect	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL77	2017-06-14	2017	TRUE	other_country_outside_europe
GCF_022240885.1	SAMN25770311	400	Acinetobacter baumannii	17012	TRUE	2017	China	guangzhou	NCBI	3933452	0.389	0	74	292839	130246	26842	99.8	470	Acinetobacter baumannii	81.08	ST2	7	KL2	Very high	OCL1	Good	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2017-12-10	2017	TRUE	other_country_outside_europe
GCF_022240895.1	SAMN25770306	400	Acinetobacter baumannii	17007	TRUE	2017	China	guangzhou	NCBI	3834184	0.389	0	55	292839	181324	35428	99.7	470	Acinetobacter baumannii	85.45	ST2	7	KL77	Perfect	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL77	2017-06-24	2017	TRUE	other_country_outside_europe
GCF_022240945.1	SAMN25770316	400	Acinetobacter baumannii	17017	TRUE	2017	China	guangzhou	NCBI	3956428	0.389	0	69	257394	158425	22144	99.8	470	Acinetobacter baumannii	82.61	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2017-02-28	2017	TRUE	other_country_outside_europe
GCF_022240965.1	SAMN25770314	400	Acinetobacter baumannii	17015	TRUE	2017	China	guangzhou	NCBI	3915197	0.389	0	71	292830	162513	22144	99.8	470	Acinetobacter baumannii	84.51	ST2	7	KL3	Very high	OCL1	High	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2017-06-09	2017	TRUE	other_country_outside_europe
GCF_022241045.1	SAMN25770305	400	Acinetobacter baumannii	17006	TRUE	2017	China	guangzhou	NCBI	3931234	0.388	0	62	350654	166883	23654	99.6	470	Acinetobacter baumannii	80.65	ST2	7	KL49	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL49	2017-07-10	2017	TRUE	other_country_outside_europe
GCF_022241085.1	SAMN25770315	400	Acinetobacter baumannii	17016	TRUE	2017	China	guangzhou	NCBI	4012024	0.389	0	70	292717	133644	24446	99.8	470	Acinetobacter baumannii	87.14	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2017-07-27	2017	TRUE	other_country_outside_europe
GCF_022241105.1	SAMN25770322	400	Acinetobacter baumannii	17023	TRUE	2017	China	guangzhou	NCBI	3947902	0.389	0	62	274833	160891	22143	99.8	470	Acinetobacter baumannii	85.48	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2017-09-28	2017	TRUE	other_country_outside_europe
GCF_022241225.1	SAMN25770319	400	Acinetobacter baumannii	17020	TRUE	2017	China	guangzhou	NCBI	4039851	0.389	0	74	257394	156609	20917	99.8	470	Acinetobacter baumannii	82.43	ST2	7	KL7	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL7	2017-05-29	2017	TRUE	other_country_outside_europe
GCF_022241265.1	SAMN25770301	400	Acinetobacter baumannii	17002	TRUE	2017	China	guangzhou	NCBI	3930080	0.388	0	62	350654	132100	23654	99.6	470	Acinetobacter baumannii	80.65	ST2	7	KL49	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL49	2017-08-15	2017	TRUE	other_country_outside_europe
GCF_022241275.1	SAMN25770304	400	Acinetobacter baumannii	17005	TRUE	2017	China	guangzhou	NCBI	4060269	0.389	0	75	257490	141015	17472	99.7	470	Acinetobacter baumannii	86.67	ST2	7	KL2	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	NA	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL2	2017-08-17	2017	TRUE	other_country_outside_europe
GCF_022241325.1	SAMN25770310	400	Acinetobacter baumannii	17011	TRUE	2017	China	guangzhou	NCBI	3930228	0.388	0	62	350654	166883	23654	99.6	470	Acinetobacter baumannii	79.03	ST2	7	KL49	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL49	2017-08-28	2017	TRUE	other_country_outside_europe
GCF_022241335.1	SAMN25770318	400	Acinetobacter baumannii	17019	TRUE	2017	China	guangzhou	NCBI	3895464	0.388	0	52	292839	181324	38151	99.8	470	Acinetobacter baumannii	80.77	ST2	7	KL52	Very high	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL52	2017-09-14	2017	TRUE	other_country_outside_europe
GCF_022241405.1	SAMN25770302	400	Acinetobacter baumannii	17003	TRUE	2017	China	guangzhou	NCBI	3975541	0.39	0	80	354507	139438	22086	99.8	470	Acinetobacter baumannii	76.25	ST2	7	KL9	Very high	OCL1	Very high	aac(3)-Ia|aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL9	2017-02-17	2017	TRUE	other_country_outside_europe
GCF_022241445.1	SAMN25770303	400	Acinetobacter baumannii	17004	TRUE	2017	China	guangzhou	NCBI	3936070	0.388	0	62	350654	131104	23654	99.6	470	Acinetobacter baumannii	83.87	ST2	7	KL49	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL49	2017-03-15	2017	TRUE	other_country_outside_europe
GCF_022241505.1	SAMN25770309	400	Acinetobacter baumannii	17010	TRUE	2017	China	guangzhou	NCBI	3985973	0.388	0	71	292839	162512	22144	99.8	470	Acinetobacter baumannii	84.51	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Eastern Asia	CN	ST2-KL3	2017-04-12	2017	TRUE	other_country_outside_europe
GCF_022341905.1	SAMN13111587	199	Acinetobacter baumannii	3402	TRUE	2014	India	NA	NCBI	3994982	0.39	0	97	366523	165878	23932	99.7	470	Acinetobacter baumannii	76.29	ST2	7	KL4	Very high	OCL1	Very high	aac(6')-Ib|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catB8	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	IN	ST2-KL4	2014-07-21	2014	TRUE	other_country_outside_europe
GCF_022342045.1	SAMN13111602	104	Acinetobacter baumannii	18608	TRUE	2013	India	NA	NCBI	3935307	0.389	0	103	192307	105422	14024	97.9	470	Acinetobacter baumannii	78.64	ST2	7	KL12	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	IN	ST2-KL12	2013-05-22	2013	TRUE	other_country_outside_europe
GCF_022342075.1	SAMN13169203	233.4	Acinetobacter baumannii	9029	TRUE	2014	India	NA	NCBI	4102480	0.39	0	105	462530	164945	17843	99.8	470	Acinetobacter baumannii	71.43	ST2	7	KL13	Perfect	OCL1	Very high	aac(3)-Ia|aadA1|aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	IN	ST2-KL13	2014-09-05	2014	TRUE	other_country_outside_europe
GCF_022342185.1	SAMN13169190	112	Acinetobacter baumannii	36693	TRUE	2014	India	NA	NCBI	4007126	0.388	0	96	222433	95171	21845	98.8	470	Acinetobacter baumannii	87.5	ST2	7	KL217	Good	OCL1	Very high	aph(3'')-Ib|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Asia	Southern Asia	IN	ST2-KL217	2014-06-16	2014	TRUE	other_country_outside_europe
